2500,"Rottweil",48.16144,8.63262
72,"Hannover",52.36525,9.73115
751,"Gera",50.88089,12.07207
450,"Schortens",53.53663,7.94962
280,"Göttingen",51.53404,9.94381
723,"Pulheim",50.96114,6.78215
127,"Hamburg",53.57060,9.99824
129,"Göttingen",51.54217,9.93562
2217,"Saarbrücken",49.23432,6.99575
694,"Potsdam",52.39677,13.05589
350,"Paris",48.85853,2.36340
2259,"Saarbrücken",49.23140,6.98198
278,"Halle/Saale",51.48206,11.96838
224,"Halle/Saale",51.49511,11.93834
756,"Osnabrück",52.27886,8.04491
2236,"Villingen-Schwenningen",48.05249,8.46525
2327,"Weingarten/Württemberg",47.80895,9.64552
235,"Hannover",52.37210,9.73422
2516,"Knittlingen",49.02409,8.75734
358,"Bremen",53.10592,8.84490
2267,"Tübingen",48.51825,9.05829
2298,"Ettlingen",48.94278,8.40952
591,"Hohenhameln",52.25786,10.05778
420,"Genthin",52.40438,12.15832
721,"Bonn",50.73236,7.09236
2200,"Bad Schussenried",48.00748,9.65822
1115,"Roma",41.89193,12.51133
465,"Bitterfeld-Wolfen",51.65899,12.26518
2559,"Berlin",52.50954,13.37342
2326,"Heidenheim/Brenz",48.67649,10.15147
2237,"Tübingen",48.53624,9.05892
474,"Gotha",50.94799,10.70942
2266,"Stuttgart",48.79016,9.18310
2517,"Calw",48.71124,8.74509
365,"Bremen",53.07693,8.81642
2344,"Bad Elster",50.28192,12.2343
618,"Berlin",52.50735,13.32781
428,"Wolmirstedt",52.24588,11.62846
726,"Düsseldorf",51.24193,6.84472
2280,"Mannheim",49.48802,8.46108
732,"Xanten",51.66768,6.45354
596,"Hude/Oldenburg",53.10790,8.44727
195,"Halle/Saale",51.49643,11.94409
254,"Hamburg",53.54684,9.96498
484,"Apolda",51.02467,11.51880
2216,"Heidelberg",49.40764,8.67585
2254,"Tübingen",48.51915,9.06001
2293,"Radolfzell",47.73837,8.96947
2273,"Saarbrücken",49.23037,6.99790
384,"Wittenberg",51.86468,12.65250
541,"Sande",53.50082,8.01372
2520,"Stuttgart",48.77878,9.17724
50,"Wolfenbüttel",52.16448,10.53005
1026,"Münster",51.97094,7.60846
503,"Ilmenau",50.68502,10.91855
2197,"Stuttgart",48.78934,9.20977
2177,"Konstanz",47.66823,9.17911
111,"Buxtehude",53.47762,9.70461
282,"Bitterfeld-Wolfen",51.61236,12.30243
452,"Isenbüttel",52.43049,10.57863
2074,"Berlin",52.50943,13.38077
2094,"Leipzig",51.33865,12.37226
604,"Helmstedt",52.22929,11.00858
2387,"Sulz/Neckar",48.35763,8.73406
2031,"Ludwigsburg",48.90793,9.18397
577,"Staßfurt",51.85108,11.58169
579,"Dissen",52.11413,8.20487
2138,"Dresden",51.02981,13.73852
352,"Braunschweig",52.26361,10.53264
2411,"Dresden",51.04180,13.72412
515,"Diepholz",52.60959,8.36261
2479,"Renchen",48.58903,8.01461
2499,"Emmendingen",48.12023,7.84978
2133,"Breitenbrunn",50.47751,12.76423
433,"Sangerhausen",51.47940,11.29702
2242,"Ulm",48.38143,9.94868
2330,"Merzig",49.44318,6.64170
587,"Papenburg",53.07785,7.39593
546,"Wendeburg",52.32355,10.38687
2307,"Bautzen",51.18342,14.42188
2352,"Karlsruhe",49.00745,8.40393
2151,"Pforzheim",48.88796,8.70804
2360,"Leipzig",51.35218,12.42895
422,"Jessen",51.78992,12.94876
2494,"Frankfurt/Main",50.10629,8.68105
2474,"Bochum",51.44579,7.24495
2453,"Leipzig",51.34053,12.37688
612,"Hamburg",53.54696,9.96724
11,"Berlin",52.50771,13.37063
501,"Heilbad Heiligenstadt",51.37466,10.13770
436,"Braunsbedra",51.28563,11.88234
2163,"Bretten",49.03680,8.70685
113,"Hamburg",53.57491,10.06889
2220,"Heidelberg",49.41055,8.71106
738,"Berlin",52.50744,13.38882
2011,"Heidelberg",49.40974,8.70591
91,"Hildesheim",52.14240,9.95797
2306,"Bensheim",49.68838,8.62307
2431,"Biberach/Riß",48.09308,9.79123
26,"Kiel",54.33903,10.15620
2118,"Mannheim",49.47388,8.53440
2113,"Göppingen",48.69767,9.65606
2245,"Denkendorf/Württemberg",48.70066,9.34397
105,"Kiel",54.32750,10.12858
2542,"Dresden",51.02841,13.74179
2099,"Kehl",48.57503,7.81767
2310,"Stuttgart",48.77666,9.18434
2176,"Schwäbisch Hall",49.11249,9.73684
2386,"Stuttgart",48.77635,9.16518
2168,"Heidelberg",49.41247,8.70831
2458,"Speyer",49.31931,8.43587
2355,"Karlsruhe",49.01317,8.38282
2061,"Dresden",51.03660,13.73609
2235,"Mannheim",49.48213,8.47975
2209,"Altenburg",50.99173,12.44472
2515,"Heidelberg",49.40974,8.70591
2532,"Hannover",52.40484,9.82247
285,"Potsdam",52.40823,12.97320
2023,"Karlsruhe",49.01247,8.40168
455,"Verden/Aller",52.92239,9.23483
2550,"Offenbach/Main",50.10327,8.75502
217,"Hildesheim",52.15348,9.94445
606,"Berlin",52.50686,13.38397
1014,"Lübeck",53.86576,10.68225
499,"Erfurt",50.97828,11.02453
2322,"Baden-Baden",48.76352,8.23697
230,"Stendal",52.61593,11.84789
2121,"Heidelberg",49.41457,8.72647
114,"Hamburg",53.60223,10.00084
2504,"Gotha",50.94584,10.70439
2262,"Tübingen",48.53344,9.03464
804,"Potsdam",52.38386,13.03504
601,"Hamburg",53.56776,9.97530
264,"Elsfleth",53.24506,8.46853
2441,"Heilbronn",49.12400,9.22120
2232,"Horb/Neckar",48.44524,8.69661
2143,"Ravensburg",47.77866,9.60918
434,"Blankenburg/Harz",51.78831,10.95165
2284,"Balingen",48.27388,8.85762
2215,"Heidelberg",49.41147,8.70284
2512,"Leipzig",51.33398,12.36544
2509,"Meißen",51.15853,13.48811
2535,"Dresden",51.02830,13.73659
2340,"Dresden",51.13040,13.78797
646,"Rheine",52.27224,7.42979
460,"Wernigerode",51.83269,10.78352
689,"Bonn",50.69689,7.10745
687,"Hamburg",53.55863,10.01982
425,"Wittmund",53.57615,7.78108
2423,"Heilbronn",49.13665,9.21900
2428,"Leipzig",51.33549,12.38677
2562,"Dresden",51.05324,13.73897
677,"Celle",52.60358,10.07679
